x,y,z
-1.766864776611328125e+01,-1.020350742340087891e+01,-1.027536034584045410e+00
-1.766864776611328125e+01,-1.012532901763916016e+01,-1.089432835578918457e+00
-1.766864776611328125e+01,-1.009778404235839844e+01,-1.097414612770080566e+00
-1.766864776611328125e+01,-9.929577827453613281e+00,-1.116761088371276855e+00
-1.766864776611328125e+01,-9.810360908508300781e+00,-1.193755269050598145e+00
-1.766864776611328125e+01,-9.751201629638671875e+00,-1.197803378105163574e+00
-1.766864776611328125e+01,-9.720541000366210938e+00,-1.207405209541320801e+00
-1.766864776611328125e+01,-9.621512413024902344e+00,-1.268545031547546387e+00
-1.766864776611328125e+01,-9.526845932006835938e+00,-1.277745842933654785e+00
-1.766864776611328125e+01,-9.462350845336914062e+00,-1.285047173500061035e+00
-1.766864776611328125e+01,-9.426902770996093750e+00,-1.300747036933898926e+00
-1.766864776611328125e+01,-9.315158843994140625e+00,-1.354353308677673340e+00
-1.766864776611328125e+01,-9.241394996643066406e+00,-1.376031517982482910e+00
-1.766864776611328125e+01,-9.107473373413085938e+00,-1.464855313301086426e+00
-1.766864776611328125e+01,-9.027626037597656250e+00,-1.483283638954162598e+00
-1.766864776611328125e+01,-8.989144325256347656e+00,-1.486405014991760254e+00
-1.766864776611328125e+01,-8.900079727172851562e+00,-1.518842101097106934e+00
-1.766864776611328125e+01,-8.805109977722167969e+00,-1.556860804557800293e+00
-1.767099380493164062e+01,-8.785885810852050781e+00,-1.600570559501647949e+00
-1.766864776611328125e+01,-8.715587615966796875e+00,-1.574781537055969238e+00
-1.766864776611328125e+01,-8.617504119873046875e+00,-1.603815436363220215e+00
-1.766864776611328125e+01,-8.502821922302246094e+00,-1.656717658042907715e+00
-1.766864776611328125e+01,-8.400466918945312500e+00,-1.677619576454162598e+00
-1.766864776611328125e+01,-8.351285934448242188e+00,-1.682110905647277832e+00
-1.766864776611328125e+01,-8.252618789672851562e+00,-1.687514185905456543e+00
-1.766864776611328125e+01,-8.122069358825683594e+00,-1.736987233161926270e+00
-1.767099380493164062e+01,-8.084661483764648438e+00,-1.716123938560485840e+00
-1.766864776611328125e+01,-8.046859741210937500e+00,-1.695688366889953613e+00
-1.767099380493164062e+01,-7.947983741760253906e+00,-1.686510205268859863e+00
-1.766864776611328125e+01,-7.870248317718505859e+00,-1.718608736991882324e+00
